"Sentence","Analyzed","Gloss","Translation"
"entatuuwə ahtao, wenehtaepa","enta-tuuwə ahtao w-eneh-ta-e=pa","wake.up-POSTE when 1A-bring-FUT.IPFV-CERT=REP","After s/he wakes up, I will bring him/her back."
"mənəimo","m-ənə-i=mo","2A-eat-HYP=IRR","You would eat it."
"ipunmo mənəi","i-pun=mo m-ənə-i","3-meat=IRR 2A-eat-HYP","You would eat its meat."
"pahkopa meta?","pahko=pa m-eta","my.father=REP 2A-hear","Did you hear my father again?"
"pahko neta jipawana","pahko n-eta ji-pawana","my.father 3-hear 1-friend","My father heard my friend."
"anponai kaikui, ituukahpə?","an=po=n-ai kaikui, i-tuuka-hpə","where=LOC=3-be jaguar 3-beat-NMLZ.PST","Where is the dog which was beaten?"
"pakira apəi","pakira apə-i","peccary catch-HYP","He/she has caught the peccary."
"kɨtapotomapoti","kɨt-apoto-ma-po-ti","1+2A-helper-VBZ.BEN-CAUS-PL","We all made him help."
"ituukaimo","i-tuuka-i=mo","3-hit-HYP=IRR","S/he would hit it."
"nətapəəjanto","n-ət-apəə-ja-n=to","3-DETRZ-catch-PRS.IPFV-UNCERT=3PL","They are grabbing each other, they are fighting / having sex."
"tarɨpɨ tɨwəe","tarɨpɨ tɨ-wə-e","monkey 3-shoot-SUP","in order to shoot a/the monkey"
"arəkə","arə-kə","take-IMP","take it, carry it!"
"sekonka","s-e-konka","1A-DETRZ-pierce","I have pierced myself."
"kaikui ipijokɨsewae","kaikui i-pijokɨ=se=w-a-e","jaguar 3-hit=DES=1A-be-CERT","I want to hit the jaguar."
"jotɨ ənəsewae","j-otɨ ənə=se=w-a-e","1-meat eat=DES=1A-be-CERT","I want to eat my meat food."
"jekɨ pɨsewae","j-ekɨ pɨ=se=w-a-e","1-pet bathe=DES=1A-be-CERT","I want to bathe my pet."
"tarɨpɨ wəkə!","tarɨpɨ wə-kə","monkey shoot-IMP","Shoot the monkey!"
"tənəkə!","t-ənə-kə","3-eat-IMP","Eat it!"
"əpanawaakon se wae","ə-panawaa-kon se w-a-e","2-friend-PL DES 1A-be-CERT","I want you all's friends."
"təpupowae","təpu=po=w-a-e","Tëpu=LOC=1A-be-CERT","I am at Tëpu."
"təpupo=kɨtae","təpu=po=kɨt-a-e","Tëpu=LOC=1+2A-be-CERT","We are at Tëpu."
"enpanemenai jipawana","enpa-ne=me=n-ai ji-pawana","teach-AGT.NMLZ=ATTRZ=3-be 1-friend","My friend is a teacher."
"monomenai məe","mono=me=n-ai məe","big.one=ATTRZ=3-be 3PRO","This one is big."
"pakoroponai","pakoro=po=n-ai","house=LOC=3-be","S/he is by the house."
"nai","n-ai","3-be","S/he is."
"wae","w-a-e","1A-be-CERT","I am."
"kɨtae","kɨt-a-e","1+2A-be-CERT","We are."
"pakorosewae","pakoro=se=w-a-e","house=DES=1A-be-CERT","I want a house."
"fevereiropo tarənoton eperu pəəjan","fevereiro=po tarəno-ton eperu pəə-ja-n","February=LOC Tiriyó-PL fruit gather-PRS.IPFV-UNCERT","In February, the Tiriyó gather fruits."
